## RunInfo	version:1.0.3	annotated_features:14968	total_fragments:37498273	pair_mapped:16431724	pair_mixed:16570027	single_mapped:0	unmapped:4496522	unique:16447034	ambig:16554717	overlap_unique:97254	overlap_ambig:931666
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
HERVH_5q23.1c	5866	7616	6246.00	0.00966	35845	929	6964	7286	7276.30	0.00923
HERVH_20p12.1b	5815	7393	5342.00	0.00792	41809	675	5359	6237	6215.87	0.00682
HERVH_4q35.2a	5629	7121	6048.00	0.00538	8832	2259	7681	7966	7972.46	0.00538
HERVH_16p13.12	5479	6919	5225.00	0.0087	42366	1144	6230	6638	6650.08	0.00818
HERVH_2p14b	5233	6547	4704.00	0.00925	51978	714	5632	6526	6451.52	0.00885
HERVH_10q21.1a	5805	6015	3844.00	0.00533	43664	431	4886	5518	5494.59	0.0046
HERVH_9q21.13a	5854	4165	2876.00	0.00587	48618	427	3505	4077	4073.94	0.00571
HERVH_Yp11.2c	4926	4146	3662.00	0.00727	30082	132	3899	4176	4188.48	0.00711
HERVH_11p14.1a	5855	4139	2582.00	0.00477	42546	311	3887	4525	4519.40	0.00459
HERVH_9q21.33f	6013	3916	2473.00	0.00544	51948	328	3218	3741	3755.35	0.00501
HERVH_16p13.2b	6772	3721	3227.00	0.00381	15182	672	3316	3597	3603.38	0.00366
HERVH_4q27	6003	3083	2365.00	0.00486	39040	364	2790	3289	3287.50	0.00506
HERVH_2p14d	6085	3026	2758.00	0.00361	8994	596	2965	3054	3061.66	0.00354
HERVH_2p12c	5784	2852	1833.00	0.00378	39474	373	2172	2570	2571.46	0.00369
HERVS71_19q13.12a	6171	2843	2747.00	0.00383	3751	1933	3078	3209	3207.50	0.00383
HERVH_4q22.1a	4193	2546	1477.00	0.00218	33400	183	2402	3028	3035.25	0.00212
HERVH_3q26.32b	5745	2502	1733.00	0.00193	35005	241	2818	3088	3107.84	0.00206
HARLEQUIN_Yq11.221c	7418	2199	2188.00	8.81e-05	2710	2180	2261	2266	2266.00	8.83e-05
HERVH_Xq23h	5971	2133	801.00	0.00334	58820	51	2197	3266	3249.40	0.00385
HERVH_19q13.12a	5549	1856	1456.00	0.00296	16558	195	1660	1815	1832.79	0.00284
HERVH_6q22.31h	5916	1821	913.00	0.00224	56547	61	1319	2062	2021.54	0.00245
HERVH_6q16.1b	5692	1686	1101.00	0.00248	45768	129	1442	2084	2069.42	0.00285
HERVH_Xq21.31a	5965	1662	690.00	0.00199	53932	107	1346	2154	2147.74	0.00248
HERVH_2q33.3a	5788	1599	908.00	0.00212	47270	178	1398	1860	1850.80	0.00233
HERVH_1p34.3d	5666	1597	1326.00	0.00188	6964	127	1423	1564	1561.03	0.00173
HERVE_2q37.1	8132	1501	1432.00	0.00279	1768	1334	1665	1697	1700.50	0.00281
HERVH_4q13.1	5808	1482	930.00	0.00207	52406	147	1535	1997	1972.85	0.00235
HERVH_4q22.1i	6157	1436	1015.00	0.00203	33241	221	1476	1688	1698.94	0.00218
HERVH_8q23.3d	6036	1419	749.00	0.00145	38147	98	1360	1947	1931.74	0.00163
HERVH_5q32b	4691	1351	862.00	0.00129	32362	235	1350	1651	1667.40	0.00153
HERVH_1q42.2c	5831	1271	678.00	0.00172	51126	123	1207	1961	1953.32	0.00235
HERVH_5q21.3a	5499	1190	612.00	0.00157	25286	128	942	1213	1210.67	0.0015
HERVH_Xq25b	5723	1152	780.00	0.00116	36607	109	1190	1493	1505.27	0.00127
HERVH_14q22.1a	3721	1150	678.00	0.00151	37203	142	1025	1408	1404.52	0.00169
HERVH_3q27.3b	5759	1097	541.00	0.00141	49777	69	870	1479	1488.58	0.00172
LTR46_Xq11.1	8410	1080	1070.00	0.00161	1232	1055	1117	1149	1143.50	0.00161
HML6_19q13.43b	9597	1042	1006.00	0.000711	1167	936	1090	1103	1101.33	0.00072
HERVH_5p15.2b	4723	1004	317.00	0.000915	38122	58	1456	2488	2510.01	0.0011
HERVH_14q21.3b	5742	993	840.00	0.00122	3492	277	1004	1080	1073.12	0.00122
HERVH_10q23.31c	5740	988	761.00	0.00158	40344	59	950	1368	1395.60	0.00171
HERVH_14q21.1a	5888	981	581.00	0.00107	39187	145	1100	1447	1433.34	0.00125
HERVH_1q42.2a	7879	973	837.00	0.00106	6416	100	894	970	975.04	0.00104
HERVH_1p13.2b	5910	967	692.00	0.00061	2302	278	1455	1475	1468.90	0.00061
ERV316A3_8q13.3a	4749	888	888.00	6.75e-08	9969	888	3976	4037	4032.50	4.86e-06
HERVH_2q32.1d	5639	835	653.00	0.000536	2853	272	1134	1284	1283.22	0.000536
HERVH_1p31.1j	5925	818	489.00	0.000517	21590	101	1009	1129	1136.39	0.000556
HERVH_Xq21.33a	6270	815	713.00	0.000396	27708	565	804	1038	1054.57	0.000564
HERVH_6q23.2f	5868	813	477.00	0.000883	40306	80	869	1499	1501.57	0.00129
HERVH_2q34d	5620	805	449.00	0.000878	39731	84	763	1088	1064.05	0.00131
HERVH_2q32.1b	8208	778	600.00	0.00113	17410	86	730	901	910.87	0.00115
MER4B_Xq23a	6662	705	676.00	0.000802	784	632	721	729	730.67	0.000802
HERVH_6q24.1c	6117	685	392.00	0.000548	36671	77	798	1168	1160.36	0.000824
HERVH_13q21.1b	5872	672	367.00	0.000589	44333	83	740	1192	1174.91	0.00108
HERVH_Yp11.2b	5641	661	413.00	0.00109	47395	63	745	1515	1494.97	0.00237
HERVH_4q22.1f	6060	647	471.00	0.000966	20181	78	656	808	804.22	0.00104
HERVH_Xq23f	5489	640	550.00	0.00054	5325	131	655	698	703.36	0.000541
HERV9_Yq11.221d	10316	619	593.00	0.00112	802	423	658	665	662.50	0.00113
HERVH_7p15.3c	5741	594	358.00	0.000638	37014	102	656	964	959.71	0.000906
HERVH_9q31.1	6341	590	543.00	0.001	2780	169	582	588	594.41	0.000999
HERVH_10q24.31a	7479	573	472.00	0.000503	1505	356	825	864	863.86	0.000503
HERVH_7q21.3b	5618	565	493.00	0.000853	4464	93	548	575	573.41	0.000845
HUERSP2_21q22.3	5772	534	507.00	0.00042	592	497	560	568	569.00	0.000423
HERVH_3q13.31a	5684	531	64.00	0.000159	53110	4	1198	1790	1797.09	0.000608
HERVH_8q24.22a	5673	511	349.00	0.000482	7236	52	599	683	685.02	0.000608
HERVH_5q32a	4394	509	369.00	0.000663	21211	135	515	651	648.36	0.000717
HERVH_4p15.2b	4927	472	357.00	0.000655	15453	39	403	537	533.22	0.000658
HERVH_Xq22.2c	4246	461	421.00	0.000478	977	183	462	481	484.59	0.000477
HUERSP1_6q27	7175	445	420.00	0.00039	786	387	529	567	566.00	0.00039
HERVH_9q33.1b	5738	441	334.00	0.000438	16419	44	466	559	573.06	0.00052
HERVH_16q22.1	9596	439	293.00	0.000518	33255	96	503	822	826.99	0.000807
HERV4_11q21	7525	411	411.00	0.000785	424	409	417	418	418.50	0.000785
HERVH_Xp22.32b	5718	391	193.00	0.000283	41281	13	586	1014	1012.43	0.000861
HERVH_2q35b	5824	387	120.00	0.000565	48461	42	369	992	1017.13	0.00114
HERVH_4q22.1j	5701	367	162.00	0.000347	38010	47	482	781	785.72	0.000627
ERV316A3_18q11.2c	1591	365	359.00	0.000555	395	349	379	383	383.00	0.000555
HERVH_5p15.31b	5752	352	191.00	0.000357	32461	36	417	769	754.13	0.000582
MER4B_11q13.2	4019	347	347.00	1.55e-08	3139	347	1076	1296	1311.62	1.08e-06
HERVH_6q16.1a	5594	346	180.00	0.000327	48560	49	488	1008	1018.03	0.000902
HERVH_1p13.2c	2813	337	321.00	0.000863	771	314	351	355	357.68	0.000862
HERVH_6p22.3c	5727	336	252.00	0.000331	7131	49	372	434	433.91	0.000366
HERVI_18q21.1	9680	331	329.00	0.000417	349	316	334	334	336.00	0.000417
HERVH_15q26.2a	5831	327	170.00	0.000241	45576	43	560	1064	1083.97	0.000867
HERVH_8q13.3b	5724	320	164.00	0.00032	35555	30	404	830	828.44	0.000658
HERVH_Xq25a	5782	315	187.00	0.000438	31478	29	316	537	555.15	0.000686
HERVK11_15q15.1	4013	313	297.00	0.000664	345	196	333	337	336.00	0.000695
HERVH_11q23.3b	3981	296	199.00	0.000386	5704	39	341	394	390.42	0.000395
HERVH_6q23.2c	5765	293	166.00	0.000361	25385	21	272	488	493.21	0.000567
HERVH_4q22.1b	1626	289	122.00	0.000436	12021	12	464	615	601.54	0.000637
HERVH_4p16.3c	5635	289	228.00	0.000353	3790	63	314	342	341.93	0.000356
PABLB_9q34.3	6097	271	269.00	0.000309	283	260	272	274	274.00	0.000309
ERVLE_15q25.3b	2292	262	262.00	0.00047	271	262	263	264	264.00	0.00047
HERVH_14q21.3a	4569	260	92.00	0.000232	46173	23	436	939	949.92	0.000647
HERVH_5q35.1a	5784	241	168.00	0.000371	6458	33	215	249	251.03	0.000385
MER34B_22q13.31	1598	231	228.00	0.000218	242	228	236	240	238.00	0.000218
HERVH_6q23.2a	5840	228	128.00	0.000291	26212	28	273	437	430.07	0.000488
HERVH_3q25.2d	6362	228	149.00	0.000163	1967	69	300	327	332.15	0.000168
HERVH_2q14.1c	5757	218	118.00	0.000239	38703	15	343	650	634.86	0.000504
MER4B_2q31.1	3655	215	215.00	1.27e-09	1213	215	225	225	225.00	1.33e-09
MER41_1q44a	2764	202	191.00	0.000223	230	185	214	216	217.50	0.000223
HERVH_22q12.1	2822	201	201.00	2.46e-06	34596	198	317	646	635.89	0.000688
HERVH_Xq22.2b	1741	199	184.00	0.000373	600	93	253	275	271.51	0.000373
HERVH_13q14.3d	2602	195	89.00	0.000199	19682	22	368	602	605.08	0.000415
HERVH_19_GL949748v2_alt(b)	5595	193	1.00	8.26e-05	6635	1	1	78	78.47	6.42e-05
HERVH48_21q22.3	9135	189	189.00	0.000302	201	180	193	194	194.50	0.000302
HERVH_2p25.1	6186	188	130.00	0.000198	36133	53	273	508	532.91	0.000498
HERVH_21q22.13	4583	181	160.00	0.000265	1796	74	190	213	207.57	0.000265
ERV316A3_7q31.1c	6561	179	179.00	2.25e-10	767	179	312	316	317.00	2.25e-10
HERV3_19p13.3	2229	178	177.00	0.000124	258	165	211	219	219.50	0.000124
ERV316A3_6_GL000251v2_alt(p)	5624	173	171.00	0.000309	181	0	2	46	53.07	9.63e-05
HERVH_1q41c	7088	171	58.00	9.61e-05	44886	10	805	1244	1234.07	0.000676
HERVH_20p12.1c	4810	170	52.00	0.000311	40283	20	455	1118	1099.23	0.0011
HERVH_17p12	5192	170	109.00	0.000191	22118	23	211	291	285.73	0.000277
HERVH_Xq23l	5775	167	81.00	0.000182	53792	33	395	865	869.64	0.000751
MER61_5p14.1	5900	157	155.00	0.000249	161	154	158	159	159.00	0.000249
HERVIP10F_3p21.31	6053	153	152.00	0.000313	163	138	158	159	159.00	0.000313
HERVH_7q11.23b	9651	153	139.00	0.000144	1168	93	170	177	175.89	0.000144
HERVH_6q16.1c	5838	151	65.00	0.000203	45039	23	426	798	778.06	0.000786
MER61_2q31.1b	5015	146	118.00	0.000112	468	110	354	367	371.50	0.000293
HERVH_7p21.1b	5847	142	125.00	0.000214	2746	68	146	202	201.74	0.000215
HERVH_9q21.32b	5757	141	50.00	0.00018	43307	11	407	1018	989.63	0.00103
HERVH_4q32.3b	5930	131	78.00	0.000168	37303	18	164	648	653.92	0.000712
HERVH_1q31.1a	5938	127	39.00	0.000106	62415	10	315	1110	1121.70	0.00111
HUERSP3B_16p11.2a	6990	126	126.00	0.000226	149	119	133	137	137.50	0.000226
HERVH_9q33.1c	5752	126	43.00	0.000154	54304	12	339	984	976.84	0.000971
HERV4_1q22b	6763	125	125.00	0.000245	127	124	125	125	125.50	0.000245
HERVH_2p14c	5614	125	84.00	0.000165	28790	16	188	435	447.32	0.0004
HUERSP3_1q42.12	3383	118	118.00	6.91e-08	882	118	289	366	374.50	1.34e-06
MER41_Xq25a	3488	114	108.00	0.000291	135	104	116	117	117.80	0.000291
HERVH_Xq23b	5867	111	38.00	0.000184	51392	17	774	1622	1585.29	0.0013
MER4_3q29f	3792	106	104.00	0.000182	135	65	115	119	118.50	0.000182
HERVIP10FH_21q22.12	4981	105	103.00	0.000108	111	77	106	107	106.50	0.000108
HERVH_15q14a	5209	105	71.00	9.99e-05	27346	9	176	405	390.62	0.000228
HERVH_9p23b	5784	103	97.00	8.82e-06	47327	82	524	947	961.14	0.000432
HERVH_6p22.3a	5882	97	68.00	9.95e-05	7841	24	133	231	212.22	0.000146
ERVLE_17p11.2c	570	96	96.00	0.000147	96	96	96	96	96.00	0.000147
HERVH_7q35c	5407	95	57.00	5.99e-05	6334	16	162	242	235.80	7.89e-05
HERVH_3q13.31b	5872	94	44.00	9.09e-05	21138	7	115	345	343.00	0.000257
HERVH_3p22.1a	5787	93	66.00	0.000134	6318	7	160	186	188.78	0.000205
HERVH_2q33.1a	9317	91	82.00	0.000169	2150	47	124	134	132.96	0.000173
HERVH_1p31.1a	6396	90	81.00	5.95e-05	928	61	184	210	208.60	5.96e-05
HERVH_5p14.3a	5756	87	60.00	3.82e-05	26572	17	426	669	674.81	0.000275
HERVI_12p13.31	8749	85	71.00	0.000146	194	67	78	83	85.50	0.000146
HERVH_4q31.21b	4681	85	53.00	8.12e-05	19572	16	119	374	363.52	0.000369
HERVH_14q21.3c	5887	85	57.00	7.15e-05	4573	23	103	134	134.79	7.79e-05
HERVH_5q31.1d	4451	83	57.00	9.18e-05	12966	10	90	175	169.64	0.000156
HERVH_6q22.1c	6404	83	74.00	7.5e-05	739	29	136	142	143.85	7.53e-05
HUERSP3B_16p11.2b	3541	79	79.00	0.000108	89	74	83	83	85.50	0.000108
HERVH_6p23	5882	79	46.00	2.49e-05	37569	33	484	868	856.69	0.000526
ERVLB4_9q22.33b	2071	78	78.00	0.000205	79	78	78	78	78.50	0.000205
HERVIP10F_1p36.33	659	77	77.00	0.000133	83	76	79	80	80.00	0.000133
HERVH_13q14.3c	5741	77	60.00	7.15e-05	5156	20	262	286	294.08	7.86e-05
HERVH_4p15.2c	5776	77	27.00	4.97e-05	37330	15	308	1025	1023.17	0.000734
ERVLB4_2q37.3b	1622	76	76.00	9.24e-05	84	76	80	81	80.50	9.24e-05
HARLEQUIN_19_GL383573v1_alt	6994	76	0.00	5.53e-05	226	0	0	48	41.67	5.66e-05
HERVH_2q32.1c	5787	76	35.00	4.61e-05	15454	10	172	302	304.80	0.000144
HERVH_10p14b	5871	76	51.00	4.12e-05	26877	15	162	340	339.77	0.000189
PABLA_16p13.3b	1739	75	75.00	0.000115	87	75	82	82	83.00	0.000115
HERVFH21_11p15.4	6144	75	75.00	9.45e-05	80	72	76	77	77.00	9.45e-05
HERVW_4p13	7459	75	69.00	5.92e-05	136	41	119	120	120.03	6.03e-05
MER61_19p12c	1881	74	73.00	0.000134	75	73	74	74	74.00	0.000134
HERVH_14q21.1b	6011	73	18.00	0.0001	43438	9	317	870	893.71	0.000844
HERVH_2q24.1c	5761	73	58.00	9.15e-05	6666	17	101	148	147.29	0.000107
HERVH_12p13.31c	5698	72	55.00	8.97e-05	7408	13	130	210	218.56	0.000118
MER101_7q36.1a	4546	72	72.00	4.4e-06	582	72	112	113	114.00	8.12e-06
HERVH_5q22.1	4578	71	71.00	1.72e-07	4719	70	73	86	85.68	3.48e-06
ERVLB4_21q21.3e	3529	69	69.00	9.74e-05	74	53	71	71	71.50	9.74e-05
HERVH_1p31.3b	5819	69	43.00	7.61e-05	36675	11	179	512	504.64	0.000435
HERV3_7q11.21	9613	67	67.00	9.83e-05	70	67	69	70	69.50	9.83e-05
HERVH_14q24.2a	8443	67	56.00	8.75e-05	3227	18	59	84	87.71	8.78e-05
HERVH_14q31.3d	6101	67	40.00	7.87e-05	3745	7	71	80	90.09	7.45e-05
HERVH_7q11.21	7353	67	65.00	7.25e-05	74	64	70	70	71.50	7.25e-05
HERVW_7q31.32	5941	65	64.00	0.000112	67	53	65	66	65.50	0.000112
HERVH_1q32.2a	5198	64	36.00	6.57e-05	35772	18	152	455	438.94	0.000503
HERVH_7q31.1a	5846	64	57.00	5.84e-05	4125	12	83	119	119.70	6.07e-05
HUERSP3_6q22.31	9240	63	63.00	0.000152	67	62	64	66	65.00	0.000152
MER4_Xp22.2d	5765	63	63.00	0.000108	599	47	67	71	70.00	0.000108
MER41_Xq25b	724	63	63.00	9.03e-05	63	63	63	63	63.00	9.03e-05
HML5_12q12a	4958	63	62.00	6.77e-05	78	57	68	69	68.50	6.77e-05
HUERSP3_1p36.13	2564	62	62.00	8.1e-05	65	62	64	64	64.50	8.1e-05
HERVH_6q15	5238	62	30.00	5.16e-05	41552	21	355	930	951.07	0.000827
HARLEQUIN_5q14.2	6470	61	49.00	0.000118	80	48	67	67	67.00	0.000124
HERVH_11q13.2f	5662	61	47.00	0.000106	8704	17	77	168	170.21	0.000252
HERVH_4q28.3a	5860	61	57.00	7.37e-05	2589	19	64	78	73.61	7.66e-05
HARLEQUIN_1p36.33	6601	60	53.00	6.04e-05	101	43	83	84	83.50	6.89e-05
MER4B_Xq21.33	9585	57	57.00	0.000111	60	54	58	59	58.50	0.000111
HERV4_13q32.3	10213	57	57.00	9.59e-05	66	55	63	63	63.00	9.64e-05
HERVH_6q23.2b	5842	57	35.00	7.85e-05	18808	7	75	133	128.53	0.000116
HERVH_15q21.3b	5620	56	37.00	7.84e-05	22124	5	84	149	160.40	0.000151
HERVH_12q22	6029	56	34.00	4.18e-05	34569	12	169	475	469.78	0.000281
HERV3_19p12b	10503	55	55.00	0.000145	57	55	55	55	55.50	0.000145
HERVH_8q22.1a	5711	55	19.00	3.93e-05	19136	9	123	280	273.32	0.000128
HERVH_2p24.2	5759	55	11.00	3.45e-05	26864	4	126	339	324.48	0.000192
HERVH_1q32.3b	4674	55	41.00	1.57e-05	57089	25	736	1450	1477.20	0.000829
HARLEQUIN_17q21.31	7453	53	52.00	0.000105	82	31	53	54	53.46	0.000105
MER41_1q44b	3137	53	53.00	8.72e-05	56	52	53	53	53.00	8.72e-05
HERVH_9q22.33c	6121	53	22.00	7.7e-05	30987	9	96	453	422.63	0.000443
MER101_2q37.1	3028	53	52.00	5.02e-05	56	52	53	53	53.50	5.02e-05
HARLEQUIN_7q22.1	8486	52	51.00	0.000105	75	24	52	53	52.62	0.000106
HML1_19q13.43	8274	52	51.00	8.61e-05	68	48	56	58	57.50	8.61e-05
HML2_22q11.21	9175	51	19.00	0.000194	603	2	157	218	236.90	0.000425
PABLA_16p13.3a	1413	51	51.00	0.000106	61	51	56	56	57.00	0.000106
HERVW_13q21.1	8112	51	50.00	9.41e-05	804	21	54	56	55.50	9.4e-05
ERVLE_4q22.1b	575	50	50.00	0.000106	51	50	51	51	51.00	0.000106
HERVEA_19p13.11	2255	50	50.00	9.48e-05	58	26	50	50	51.00	9.49e-05
HERVH_2p16.1e	5051	50	33.00	5.5e-05	14042	3	60	135	134.06	0.000111
HERVH_8q24.22d	5765	49	27.00	4.74e-05	42250	11	235	635	652.48	0.000485
HERVH_18q22.3a	5748	49	25.00	2.55e-05	42062	13	551	967	972.50	0.000518
ERV316A3_11q12.3	2557	48	48.00	9.15e-05	50	48	48	48	48.00	9.15e-05
HERVH_16p13.2e	12415	48	40.00	2.1e-05	17543	32	79	229	225.33	0.000123
HERVH_6q22.31d	5351	47	17.00	7.24e-05	47696	8	272	789	798.55	0.000879
MER61_1q31.1a	2510	47	46.00	7.09e-05	75	45	49	54	52.00	7.09e-05
MER4_16q24.3	11936	47	46.00	6.9e-05	68	46	50	53	52.50	6.9e-05
HERVFH21_1p34.3	7482	45	45.00	7.95e-05	53	44	46	46	46.00	7.95e-05
PABLA_2p25.1	3281	45	45.00	7.51e-05	47	44	45	45	45.11	7.51e-05
HERVH_Xq13.1b	2560	45	37.00	7.45e-05	103	25	50	57	56.50	7.79e-05
PRIMA41_4q13.3	10898	45	45.00	7.4e-10	195	45	54	54	54.00	7.4e-10
HERV4_19q13.43a	1908	43	43.00	0.000127	44	43	43	44	43.50	0.000127
HML5_12q23.1	6097	43	43.00	9.82e-05	46	41	44	44	44.00	9.82e-05
ERVLE_7q32.3a	2813	43	42.00	6.79e-05	47	42	44	45	44.50	6.79e-05
HERVK11_4p16.3	7038	43	34.00	6.32e-05	284	13	88	90	89.37	0.000108
HERVH_12q21.31	5770	43	29.00	6.31e-05	6599	13	49	120	116.04	7.42e-05
HERVH_13q33.3	6027	43	34.00	3.16e-05	17318	5	68	146	155.79	0.000101
HERVS71_7p14.3	10030	42	39.00	9.71e-05	44	37	42	42	42.00	9.97e-05
HERVH_5q31.1f	5906	42	25.00	2.95e-05	28671	13	180	395	403.49	0.000193
ERVLE_9p24.1b	1491	41	41.00	7.86e-05	43	40	43	43	43.00	7.86e-05
MER41_22q12.3e	7271	41	40.00	7.8e-05	53	39	44	45	44.50	7.8e-05
HARLEQUIN_21q22.3a	5582	41	41.00	7.58e-05	62	31	41	42	41.50	7.61e-05
HERVH_13q21.1c	6025	41	15.00	4.82e-05	31790	8	277	579	578.64	0.000508
HERVH_1q42.12a	6147	40	30.00	2.76e-05	1192	17	38	50	46.12	2.76e-05
HERVH_3p11.1b	3745	39	37.00	2.98e-05	1570	29	43	50	51.30	2.98e-05
HERVH_Xq21.31b	5843	39	19.00	1.93e-05	30237	6	123	706	680.39	0.000249
ERVLB4_17q22c	1963	38	38.00	0.000107	39	38	38	39	38.50	0.000107
HERVH_19q12	4090	38	32.00	6.14e-05	2674	19	34	39	39.75	6.3e-05
ERV316A3_21q22.3e	6349	38	38.00	5.16e-05	44	38	39	40	40.00	5.16e-05
MER4B_11q12.1	12314	38	38.00	4.27e-05	53	38	39	40	40.00	4.27e-05
HML1_11q13.4	8585	37	37.00	8.04e-05	41	36	38	38	38.00	8.04e-05
HERVH_19q13.31	5874	37	25.00	3.95e-05	29824	15	84	268	275.72	0.000175
HERVH_7p14.3e	4798	36	9.00	2.89e-05	16182	5	86	492	492.86	0.000216
HERVH_10q23.2b	1514	36	32.00	1.45e-06	1196	7	41	50	49.99	1.67e-06
HERVL_11q12.1c	1268	35	35.00	8.87e-05	36	34	36	36	36.00	8.87e-05
MER4_4_GL000257v2_alt(a)	5802	35	35.00	6.15e-05	264	0	3	26	19.82	3.32e-05
HERVH_10p12.1c	5628	35	33.00	4.77e-05	1775	13	36	49	43.36	4.88e-05
HERVH_8_KI270810v1_alt(a)	5730	35	22.00	4.21e-05	26262	0	9	282	289.28	0.000234
HARLEQUIN_1p13.2a	6545	34	34.00	6.72e-05	48	30	37	38	37.50	6.72e-05
HERVL_22q13.31	6914	34	34.00	6.66e-05	40	28	36	37	36.50	6.66e-05
LTR25_14q24.3	5875	34	33.00	5.65e-05	47	33	36	37	36.50	5.65e-05
ERV316A3_4p15.32b	1013	34	34.00	4.39e-05	41	34	34	36	35.00	4.39e-05
MER4_11q12.2	4761	34	32.00	4.14e-05	44	31	38	38	38.00	4.14e-05
HERVH_12q21.2b	5778	34	19.00	4.08e-05	57647	7	216	947	932.33	0.00113
ERVLB4_17q25.3b	3189	34	33.00	2.63e-05	38	33	37	37	37.00	2.63e-05
HERVH_4q32.2b	4740	34	13.00	1.83e-05	11430	3	87	185	168.60	7.68e-05
HERVL_1q42.13	2422	33	33.00	8.28e-05	33	32	33	33	33.00	8.28e-05
PABLA_1q25.1	5589	33	32.00	6.45e-05	47	31	38	38	40.00	6.45e-05
HERVIP10FH_14q11.2	6143	33	30.00	6.28e-05	44	20	36	37	36.50	6.28e-05
HERVH_1p36.32b	8303	33	20.00	1.84e-05	23503	4	110	216	230.10	8.48e-05
MER4B_1p36.33	5076	33	33.00	1.18e-05	45	32	37	38	37.50	1.18e-05
HERVH_4q31.21c	5891	32	8.00	4.73e-05	52916	4	158	616	594.27	0.000513
HERVH_19p13.2b	11228	32	32.00	2.67e-05	228	31	41	45	46.17	2.67e-05
HERVH_5q23.2d	5705	32	20.00	2.46e-05	4993	7	53	80	76.66	3.46e-05
ERVLB4_3q25.2c	4230	32	27.00	1.33e-05	81	23	49	60	58.50	1.33e-05
ERVLE_7q22.1c	442	31	31.00	6.93e-05	33	31	32	32	32.00	6.93e-05
ERVLE_22q13.33	4040	31	31.00	3.99e-05	36	31	34	34	34.00	3.99e-05
HERVH_14q31.3a	5724	31	18.00	3.07e-05	9515	5	57	82	89.59	5.22e-05
HERVH_1p13.2a	5659	31	30.00	2.99e-05	1736	22	35	38	39.13	3.18e-05
HERVH_9q22.32	5639	31	11.00	2.49e-05	18277	5	115	233	219.68	0.00017
HERVH_1q41f	5710	31	25.00	2.19e-05	15331	9	76	109	117.49	5.55e-05
ERV316A3_16p12.1	967	30	30.00	6.08e-05	30	30	30	30	30.00	6.08e-05
HERVH_9p24.2a	5819	30	21.00	3.17e-05	2372	8	33	45	43.59	3.39e-05
HERVH_4q22.1g	5967	30	18.00	2.32e-05	29510	6	142	403	404.52	0.000269
MER4_19p12a	2211	30	27.00	2.23e-05	86	27	49	60	58.50	2.23e-05
HERVH_12p13.32	5154	30	17.00	2.05e-05	51757	9	214	759	745.68	0.000808
HERVE_13q14.13a	1262	30	28.00	1.63e-05	75	23	42	43	44.33	1.64e-05
MER61_12p13.31b	3455	29	28.00	6.61e-05	49	27	31	39	37.00	6.61e-05
HERVL66_17q21.31	4364	29	28.00	6.47e-05	49	23	37	38	39.00	6.47e-05
MER4B_Xq26.2a	3065	29	29.00	6.35e-05	31	28	29	29	29.00	6.35e-05
HERVL74_16q24.3	1295	29	29.00	6e-05	29	29	29	29	29.00	6e-05
